City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,dunedin,-45.8742,170.5036,13.22,82,67,2.04,NZ,1712449852
83,kingston,17.997,-76.7936,29.53,75,40,7.2,JM,1712449904
84,dryden,49.7833,-92.7503,11.16,30,0,4.63,CA,1712450030
85,mukalla,14.5425,49.1242,25.9,71,38,2.95,YE,1712450031
86,cabo san lucas,22.8909,-109.9124,24.17,55,75,2.06,MX,1712449976
87,marang,5.2056,103.2059,24.95,71,10,1.25,MY,1712450031
88,northam,51.0333,-4.2167,9.66,89,0,11.21,GB,1712450031
89,vedaraniyam,10.3667,79.85,27.55,73,100,2.74,IN,1712450031
90,albany,42.6001,-73.9662,6.23,64,64,0.89,US,1712449818
91,uturoa,-16.7333,-151.4333,29.2,76,71,4.66,PF,1712450032
92,tonj,7.2737,28.6822,25.66,73,100,3.29,SS,1712450032
93,stanley,54.868,-1.6985,8.21,84,20,3.09,GB,1712449746
94,hirtshals,57.5881,9.9592,10.95,80,100,8.39,DK,1712450032
95,saint-philippe,-21.3585,55.7679,24.77,85,14,1.57,RE,1712449977
96,luena,-11.7833,19.9167,19.1,94,100,1.03,AO,1712450032
97,bardai,11.65,7.2333,29.51,38,97,1.82,NG,1712450032
98,yampil',51.95,33.7833,10.21,95,100,1.15,UA,1712450033
99,qaqortoq,60.7167,-46.0333,-3.09,79,100,0.78,GL,1712449973
100,mto wa mbu,-3.35,35.85,20.9,93,100,1.23,TZ,1712450033
101,akureyri,65.6835,-18.0878,-2.04,74,100,8.23,IS,1712449768
102,bella union,-30.2752,-57.6007,17.77,84,100,4.94,UY,1712450033
103,adi keyh,14.8444,39.3772,18.03,54,93,2.24,ER,1712450033
104,oxelosund,58.6706,17.1015,3.21,100,100,4.63,SE,1712449754
105,cowra,-33.8333,148.6833,18.82,75,72,4.87,AU,1712450033
106,iwanai,42.9744,140.5089,13.67,43,0,3.17,JP,1712450034
107,selfoss,63.9331,-20.9971,-1.64,43,100,13.93,IS,1712450034
108,kulhudhuffushi,6.6221,73.07,28.84,75,100,4.12,MV,1712450034
109,mazatlan,23.2167,-106.4167,26.98,67,40,2.68,MX,1712449816
110,crane,31.3974,-102.3501,20.59,16,7,13.19,US,1712449830
111,muravlenko,63.7898,74.523,-14.2,91,9,5.31,RU,1712449774
112,taksimo,56.3444,114.8794,-13.64,66,12,0.53,RU,1712450035
113,belmonte,-15.8631,-38.8828,25.66,78,2,3.97,BR,1712450035
114,geraldton,-28.7667,114.6,20.23,100,75,0.51,AU,1712449818
115,ushuaia,-54.8,-68.3,1.81,75,20,2.57,AR,1712449742
116,olonkinbyen,70.9221,-8.7187,-5.52,59,100,6.29,SJ,1712450036
117,piti village,13.4626,144.6933,29.49,78,75,8.75,GU,1712449854
118,ribeira grande,38.5167,-28.7,16.54,94,100,9.39,PT,1712450036
119,alice springs,-23.7,133.8833,20.75,40,4,0.51,AU,1712449980
120,lebu,-37.6167,-73.65,13.03,88,50,2.66,CL,1712449795
121,lerwick,60.1545,-1.1494,9.0,84,76,11.68,GB,1712450037
122,pacocha,-17.5833,-71.3333,20.95,88,78,1.42,PE,1712450037
123,egilsstadir,65.2653,-14.3948,-2.05,93,100,11.32,IS,1712450037
124,port alfred,-33.5906,26.891,19.21,72,100,10.73,ZA,1712449969
125,kodiak,57.79,-152.4072,1.73,93,100,4.63,US,1712449963
126,namibe,-15.1961,12.1522,24.29,72,62,1.91,AO,1712449864
127,hauterive,46.0901,3.4459,18.42,45,100,3.07,FR,1712450038
128,howrah,22.5892,88.3103,29.0,84,75,0.0,IN,1712450038
129,lompoc,34.6391,-120.4579,16.55,59,0,8.23,US,1712450038
130,hasaki,35.7333,140.8333,15.22,96,100,1.57,JP,1712449975
131,wailua homesteads,22.0669,-159.378,27.24,76,100,9.26,US,1712450038
132,abashiri,44.0213,144.2697,15.16,58,40,10.29,JP,1712450038
133,new norfolk,-42.7826,147.0587,15.51,93,100,0.66,AU,1712449827
134,riosucio,5.4216,-75.7032,17.78,97,100,1.06,CO,1712449860
135,fisterra,42.9049,-9.2629,13.19,86,2,6.1,ES,1712450039
136,st. john's,47.5649,-52.7093,1.65,95,100,5.66,CA,1712449802
137,vanino,49.0869,140.2543,8.29,78,100,2.7,RU,1712449938
138,san patricio,28.017,-97.5169,24.05,82,100,7.89,US,1712449958
139,ono,34.85,134.9333,17.73,75,100,0.82,JP,1712450039
140,duba,27.3513,35.6901,23.35,60,0,4.24,SA,1712450039
141,elko,41.0002,-115.5012,3.01,54,100,4.47,US,1712450039
142,zhaqsy,51.9083,67.3133,2.16,98,100,3.79,KZ,1712450040
143,thabazimbi,-24.5917,27.4116,17.74,90,59,2.3,ZA,1712450040
144,san antonio de pale,-1.4014,5.6325,28.47,79,77,3.61,GQ,1712449781
145,oranjemund,-28.55,16.4333,14.56,89,44,5.77,NA,1712450040
146,brush,40.2589,-103.6238,8.57,31,40,12.86,US,1712449805
147,viborg,56.4532,9.402,15.0,72,100,5.46,DK,1712450040
148,klyuchi,52.2667,79.1667,8.96,73,100,3.69,RU,1712450040
149,yellowknife,62.456,-114.3525,2.29,75,75,5.66,CA,1712449970
150,dhidhdhoo,6.8833,73.1,28.85,74,99,3.97,MV,1712450041
151,tromso,69.6496,18.957,-2.99,63,20,7.2,NO,1712449877
152,afaahiti,-17.75,-149.2833,30.93,80,82,4.57,PF,1712449781
153,gorontalo,0.5412,123.0595,27.97,89,100,0.69,ID,1712450042
154,iskateley,67.6803,53.1512,-6.1,94,100,6.71,RU,1712450042
155,shizunai-furukawacho,42.3339,142.3669,6.92,97,100,6.45,JP,1712450042
156,karacabey,40.2152,28.4038,11.21,61,51,0.95,TR,1712450042
157,namtsy,62.7161,129.6658,-11.35,88,100,3.5,RU,1712450042
158,thala,35.5724,8.6703,15.66,28,0,2.57,TN,1712450043
159,lianran,24.9227,102.485,16.3,36,4,5.63,CN,1712450043
160,rantauprapat,2.1,99.8333,25.81,92,30,0.23,ID,1712450043
161,jamestown,42.097,-79.2353,6.8,61,0,3.6,US,1712450043
162,hermanus,-34.4187,19.2345,16.56,78,79,12.49,ZA,1712450043
163,keflavik,64.0049,-22.5624,-1.76,64,0,12.35,IS,1712449759
164,jhawarian,32.3614,72.6228,21.4,23,5,0.62,PK,1712450044
165,xinyuan,37.3,99.0,-2.72,71,57,0.61,CN,1712450044
166,aasiaat,68.7098,-52.8699,-7.35,90,100,1.05,GL,1712450045
167,ta`u,-14.2336,-169.5144,28.79,72,91,2.15,AS,1712449845
168,puerto colombia,10.9878,-74.9547,28.05,89,93,7.55,CO,1712450045
169,ilulissat,69.2167,-51.1,-4.99,68,100,2.06,GL,1712450045
170,udachny,66.4167,112.4,-11.42,82,99,9.79,RU,1712450045
171,the pas,53.8251,-101.2541,11.01,40,40,7.72,CA,1712450046
172,kanel,15.4916,-13.1763,32.0,27,0,3.09,SN,1712450046
173,campo gallo,-26.5833,-62.85,23.28,92,94,2.21,AR,1712450046
174,ponta delgada,37.7333,-25.6667,16.4,77,75,8.75,PT,1712450046
175,as sulayyil,20.4607,45.5779,25.14,30,17,4.14,SA,1712449871
176,chemin grenier,-20.4872,57.4656,24.77,89,5,2.42,MU,1712450046
177,astrakhan,46.3497,48.0408,4.93,81,0,2.0,RU,1712450047
178,kapa'a,22.0752,-159.319,27.99,76,100,9.26,US,1712450047
179,buala,-8.145,159.5921,26.53,85,100,3.6,SB,1712450047
180,sur,22.5667,59.5289,26.59,37,1,4.15,OM,1712449798
181,bocas del toro,9.3333,-82.25,25.59,84,100,3.38,PA,1712450047
182,glasgow,55.8652,-4.2576,10.67,77,40,10.29,GB,1712450048
183,okha,53.5739,142.9478,0.7,90,100,3.13,RU,1712449856
184,devonport,-41.1667,146.35,15.85,95,100,3.03,AU,1712450027
185,jamtara,23.95,86.8,29.36,24,100,3.54,IN,1712450048
186,blackstone,42.0179,-71.5412,5.1,91,100,6.17,US,1712450048
187,saint-pierre,-21.3393,55.4781,24.82,78,0,2.06,RE,1712449974
188,seydi,39.4816,62.9137,15.05,45,60,3.28,TM,1712450048
189,tommot,58.9564,126.2925,-13.85,92,100,4.2,RU,1712450048
190,punta arenas,-53.15,-70.9167,4.01,87,40,4.63,CL,1712450049
191,ivdel',60.6911,60.4206,-6.65,88,75,1.34,RU,1712450049
192,villa gesell,-37.2639,-56.973,18.92,73,100,6.1,AR,1712450049
193,tutoia,-2.7619,-42.2744,26.43,87,100,1.99,BR,1712450049
194,ola,59.5833,151.2833,-5.48,77,10,1.42,RU,1712450049
195,farah,32.5,62.5,18.76,22,0,1.24,AF,1712450049
196,aketi,2.7388,23.7833,21.47,99,100,0.38,CD,1712450050
197,alakurtti,66.9672,30.3491,-17.8,100,91,1.19,RU,1712449886
198,conde,-7.2597,-34.9075,26.26,82,78,3.4,BR,1712450050
199,tura,25.5198,90.2201,25.76,75,58,2.66,IN,1712450050
200,nhlangano,-27.1167,31.2,15.08,99,100,1.45,SZ,1712450050
201,kapuskasing,49.4169,-82.4331,5.05,45,0,3.6,CA,1712449868
202,morozovsk,48.3539,41.8261,8.23,59,32,1.22,RU,1712450051
203,plastun,44.7561,136.2939,12.29,33,2,5.99,RU,1712450051
204,dudinka,69.4058,86.1778,-15.77,90,100,6.3,RU,1712449959
205,erenhot,43.6475,111.9767,10.13,34,57,3.17,CN,1712450052
206,alaghsas,17.0187,8.0168,30.45,10,96,3.36,NE,1712450052
207,broken hill,-31.95,141.4333,18.96,48,0,5.72,AU,1712449823
208,guarapari,-20.6667,-40.4975,25.5,74,0,2.37,BR,1712449813
209,luderitz,-26.6481,15.1594,13.44,89,0,3.26,NA,1712449764
210,visby,57.6409,18.296,3.23,100,40,6.17,SE,1712450052
211,rongelap,11.1635,166.8941,27.25,79,100,9.25,MH,1712450053
212,san antonio oeste,-40.7319,-64.9477,18.15,56,10,1.49,AR,1712449826
213,karasburg,-28.0167,18.75,9.15,79,3,5.45,NA,1712450054
214,sinabang,2.4803,96.3801,27.47,82,71,0.54,ID,1712449860
215,paramonga,-10.6667,-77.8333,22.25,88,92,4.07,PE,1712450054
216,yerofey pavlovich,53.9667,121.9667,-14.4,54,100,5.09,RU,1712450054
217,isafjordur,66.0755,-23.124,-4.77,79,100,14.8,IS,1712450054
218,tolanaro,-25.0319,46.9987,23.04,94,0,1.03,MG,1712449874
219,norilsk,69.3535,88.2027,-15.88,90,100,4.83,RU,1712450055
220,codrington,-38.2667,141.9667,17.09,83,100,5.75,AU,1712450055
221,kruisfontein,-34.0033,24.7314,16.6,81,100,7.52,ZA,1712450055
222,tessaoua,13.7574,7.9874,28.56,40,100,1.76,NE,1712450055
223,pangobilian,8.8011,117.8594,30.96,60,99,3.83,PH,1712450055
224,newman,37.3138,-121.0208,17.38,52,68,1.79,US,1712450055
225,badger,64.8,-147.5333,4.93,46,0,2.06,US,1712449968
226,caleta de carquin,-11.0925,-77.6267,22.32,87,91,4.65,PE,1712450056
227,misratah,32.3754,15.0925,17.14,62,0,2.33,LY,1712450056
228,neelankarai,12.9455,80.2575,27.26,89,20,2.06,IN,1712450056
229,georgetown,5.4112,100.3354,28.96,83,20,1.03,MY,1712449365
230,greenland,43.0362,-70.8328,4.83,84,100,5.14,US,1712450056
231,hirara,24.8,125.2833,22.15,100,75,4.63,JP,1712450056
232,labytnangi,66.6572,66.4183,-9.23,86,100,3.66,RU,1712450057
233,la'ie,21.6477,-157.9253,26.98,71,4,7.6,US,1712449875
234,puerto real,36.5282,-6.1901,18.47,88,0,3.6,ES,1712450057
235,angaur state,6.906,134.13,28.1,78,88,7.0,PW,1712449876
236,tosontsengel,48.7567,98.2839,-0.9,82,62,0.17,MN,1712450057
237,villa san giovanni,38.2276,15.6386,17.57,57,3,4.63,IT,1712450057
238,selendi,38.7444,28.8678,10.96,60,12,0.97,TR,1712450058
239,garbsen-mitte,52.4266,9.6038,21.1,56,0,3.09,DE,1712450058
240,gamawa,12.1343,10.5396,26.77,15,36,0.63,NG,1712450058
241,beberibe,-4.1797,-38.1306,25.58,88,100,2.49,BR,1712450058
242,alofi,-19.0595,-169.9187,27.94,78,75,6.69,NU,1712449979
243,fort st. john,56.2499,-120.8529,11.94,20,40,4.63,CA,1712449806
244,nova sintra,14.8667,-24.7167,23.96,74,84,3.42,CV,1712450058
245,port douglas,-16.4833,145.4667,28.5,77,100,2.8,AU,1712450059
246,novoagansk,61.9449,76.6625,-14.12,93,8,2.91,RU,1712450059
247,polyarnyy,69.1989,33.4478,-14.06,95,91,3.45,RU,1712449999
248,thinadhoo,0.5333,72.9333,28.84,75,97,5.4,MV,1712450059
249,preobrazheniye,42.9019,133.9064,12.98,40,0,5.11,RU,1712450059
250,muli,2.9167,73.5667,28.87,73,100,3.65,MV,1712450059
251,kambove,-10.8764,26.5969,16.9,97,100,1.26,CD,1712450059
252,berdigestyakh,62.0989,126.6992,-12.61,89,100,4.25,RU,1712450060
253,kuala terengganu,5.3302,103.1408,24.97,94,20,2.06,MY,1712449982
254,sao vicente,-23.9631,-46.3919,25.15,26,100,0.89,BR,1712450060
255,samfya,-11.3649,29.5565,19.27,94,100,2.73,ZM,1712450060
256,chivhu,-19.0211,30.8922,17.14,91,100,4.68,ZW,1712450060
257,taounate,34.5,-4.8333,17.29,77,100,2.76,MA,1712450060
258,zhaobaoshan,29.9695,121.6875,14.01,96,100,1.22,CN,1712450061
259,sekong,-6.3996,106.0252,26.72,80,24,1.56,ID,1712450061
260,kalabo,-14.97,22.6814,19.44,90,100,1.69,ZM,1712450061
261,bunde,53.1833,7.2667,17.17,79,100,4.68,DE,1712450061
262,aginskoye,51.1,114.53,-6.15,54,92,4.73,RU,1712450061
263,guerrero negro,27.9769,-114.0611,17.39,51,0,7.87,MX,1712449790
264,margate,51.3813,1.3862,13.28,84,100,5.36,GB,1712449870
265,tarata,-17.6167,-66.0167,18.68,69,100,2.04,BO,1712450062
266,korla,41.7597,86.1469,10.64,44,13,3.55,CN,1712449837
267,daru,-9.0763,143.2092,29.9,74,37,0.55,PG,1712450063
268,shujaabad,29.8797,71.2931,22.03,20,0,2.59,PK,1712450063
269,broome,42.2506,-75.833,7.21,71,100,5.66,US,1712449780
270,alo,7.4178,6.7371,26.67,77,100,0.91,NG,1712450063
271,haiku-pauwela,20.9219,-156.3051,24.01,81,40,8.23,US,1712449833
272,cadale,2.7603,46.3222,28.82,76,100,4.64,SO,1712450063
273,mongo,12.1844,18.693,29.66,49,97,1.52,TD,1712450064
274,qaryat suluq,31.6682,20.2521,14.81,80,0,3.62,LY,1712450064
275,port elizabeth,-33.918,25.5701,17.83,83,100,0.89,ZA,1712450064
276,dakhla,23.6848,-15.958,19.01,100,75,5.66,EH,1712450064
277,sandnessjoen,66.0217,12.6316,-1.71,70,100,10.94,NO,1712450064
278,yuzhno-kurilsk,44.0306,145.8556,2.43,88,99,6.4,RU,1712449796
279,bugembe,0.4797,33.2344,18.75,95,100,2.02,UG,1712450065
280,miguel ahumada,30.6167,-106.5167,17.95,18,0,10.88,MX,1712450065
281,ebaye,8.7748,167.7392,31.01,70,40,7.72,MH,1712450065
282,khvoynaya,58.9,34.5333,1.86,98,100,2.3,RU,1712450065
283,port mathurin,-19.6833,63.4167,26.05,89,75,5.14,MU,1712450065
284,tofol,5.3248,163.0078,29.88,70,75,5.14,FM,1712450066
285,gazli,40.1333,63.45,14.72,47,55,3.01,UZ,1712450066
286,jalpan,21.2333,-99.4833,26.23,39,100,3.18,MX,1712450066
287,siniscola,40.5719,9.6922,8.75,64,0,2.07,IT,1712450066
288,ugoofaaru,5.6667,73.0,28.5,77,63,2.59,MV,1712450066
289,boa vista,2.8197,-60.6733,29.99,62,20,2.06,BR,1712450066
290,kavieng,-2.5744,150.7967,27.51,82,100,5.68,PG,1712450067
